1.218732, 2.043917, 6.329597
0.335987, 0.377607, 0.430995
0.335987, 0.377607, 0.430995
0.335987, 0.377607, 0.430995
0.335987, 0.377607, 0.430995
0.335987, 0.377607, 0.430995
0.335987, 0.377607, 0.430995
0.335987, 0.377607, 0.430995
0.335987, 0.377607, 0.430995
0.289882, 0.320272, 0.357781
0.289882, 0.320272, 0.357781
0.289882, 0.320272, 0.357781
0.289882, 0.320272, 0.357781
0.289882, 0.320272, 0.357781
0.289882, 0.320272, 0.357781
0.289882, 0.320272, 0.357781
0.289882, 0.320272, 0.357781
0.289882, 0.320272, 0.357781
0.289882, 0.320272, 0.357781
0.255036, 0.278212, 0.30602
0.255036, 0.278212, 0.30602
0.255036, 0.278212, 0.30602
0.255036, 0.278212, 0.30602
0.24062, 0.26112, 0.285439
0.255036, 0.278212, 0.30602
0.216252, 0.232631, 0.251694
0.216252, 0.232631, 0.251694
0.227773, 0.246039, 0.267489
0.216252, 0.232631, 0.251694
0.196443, 0.209835, 0.225186
0.187867, 0.200064, 0.213956
0.180023, 0.191181, 0.203813
0.15438, 0.162477, 0.171471
0.135275, 0.141424, 0.148159
0.117301, 0.121872, 0.126814
0.114284, 0.118613, 0.123284
0.099099, 0.102317, 0.105751
